,PC1,PC2,PC3,PC4,PC5,Species
0,1.2579221334539727,-1.1915973221471765,0.1108831134767297,0.5976172306657148,-0.07971977990206248,Grain
1,1.5911113532039205,-1.064889756434781,0.09179578346871321,0.8024265042568453,-0.06208679348742692,Grain
2,2.412740337426511,-0.5427243040939349,-0.6847391706328193,0.32584446381654675,0.012682857125338539,Grain
3,2.066380287857438,-0.7989963177415962,-0.8601757910494789,0.6119480401517163,0.09935486579823212,Grain
4,2.6312455221169935,-0.665615948475553,-1.3617925458420763,0.508552119347186,0.14222696912345512,Grain
5,2.3311209955421917,-0.9784982942877952,-1.225999600553859,0.8340859920121464,0.13415141052112176,Grain
6,2.0790803963634925,-0.2764003949868214,-0.2790515023205137,0.24004427237946652,0.09719599897055009,Grain
7,1.7951951416541427,-0.006182261816041787,-0.09935708134235002,0.3188355564368217,0.13125317973365144,Grain
8,1.5363395273283815,-1.1952219353391886,-0.16504672236537252,0.6214624436403944,0.003757082176693461,Rachis
9,0.8984858993441525,-1.2929196964759448,-1.390840165257984,0.5553244407574881,-0.07001454794841017,Rachis
10,0.43682671197427575,-0.38676293577088566,0.6881725180556344,0.6844794314317109,0.01464811567494901,Rachis
11,0.561791479378025,-0.7265997481913574,-0.013780965623921476,0.6948831544550642,0.2089842367649946,Rachis
12,0.6538729309119149,-1.8525687105409994,0.49476303307603425,0.6439285593725831,0.38992960833333173,Rachis
13,1.0938956979295178,-1.471639073200305,-0.4201573853273563,0.4768767717538914,0.3685845891648999,Rachis
14,0.8937490010330992,-0.6707468894618915,-0.09463787919137594,0.11894065641207353,0.06764669680579093,Rachis
15,0.49424030339087954,-0.5748998579531542,-0.09632080984093491,0.17423992916104197,0.19680148569995587,Rachis
16,3.358264015061761,-1.8515631286518655,0.7696873432790877,-1.3206384867718777,0.12466973264707179,Legume
17,3.1274602540335477,-1.67868072877317,1.351113462184112,-1.1248633632453762,0.03563105534229091,Legume
18,2.309859569998682,-0.36311322394828827,0.7817573168033309,-1.3566867581434783,-0.25363109457435234,Legume
19,2.639869735354165,-0.08632011493366036,0.7351329393005681,-1.25370258718948,-0.13501610882305673,Legume
20,-1.856228459470255,0.0952352889144808,-0.8609389357020055,-0.2159087221174121,-0.3758080287925349,Woody plants
21,-3.1739624679215335,-1.3567177176329732,-0.02223027039412118,-0.8498859749079002,-0.45036742958113973,Woody plants
22,-1.7068726163107835,0.571629377410552,0.9382373541224635,0.07330425721949582,-0.37529557716433315,Woody plants
23,-2.482613060484605,1.602200718956907,0.7409708673792305,-0.15374429833511374,0.2943975344968352,Woody plants
24,-2.574994531930473,-1.8035263044508953,0.06837521377429377,-0.26654194426532624,-0.13805383249657466,Woody plants
25,-1.0289640525716965,-1.160014617490203,-0.1683100269731822,-0.29280261846334427,-0.08204873006855337,Woody plants
26,-1.918290459597113,-0.21302648632693286,-0.4385205673534499,0.26244621851982525,-0.20044489906506066,Woody plants
27,-3.648136572563803,0.4429110516649858,0.12448211196006655,0.35632974422574976,0.43082005002755713,Woody plants
28,-2.3513155705715367,-0.7885269608887747,0.5517012011754528,-0.5362760508791735,-0.1968303042974527,Woody plants
29,-1.353839205069935,0.6829613907280718,0.4026248203466389,0.7429673239954134,-0.20741805024631665,Woody plants
30,-0.10875046036472368,0.5149045463474332,-0.9978814029174574,-1.2566070294250413,-0.22730413098338423,Woody plants
31,-1.6078474322432397,2.2837238325256966,-0.25463123424486406,-1.3370807640066789,0.5859857775228506,Woody plants
