,precision,recall,f1-score,support
0,0.875,0.875,0.875,8.0
1,0.8571428571428571,0.75,0.7999999999999999,8.0
2,1.0,1.0,1.0,4.0
3,0.9259259259259259,0.9259259259259259,0.9259259259259259,27.0
4,0.8888888888888888,0.9230769230769231,0.9056603773584906,26.0
accuracy,0.9041095890410958,0.9041095890410958,0.9041095890410958,0.9041095890410958
macro avg,0.9093915343915345,0.8948005698005698,0.9013172606568833,73.0
weighted avg,0.90367471189389,0.9041095890410958,0.9033858878263116,73.0
